content_id,client_id,baseline_score,reason_code,action,rank
content_4cc928307215,client_d4735e3a26,6,stale_and_strong_decline,review,35
content_0a91db491d14,client_7f2253d7e2,6,stale_and_strong_decline,review,36
content_c44f9b88d117,client_d4735e3a26,6,stale_and_strong_decline,review,37
content_02b0d6e30129,client_19581e27de,6,stale_and_strong_decline,review,38
content_460b11dcac6a,client_d029fa3a95,6,stale_and_strong_decline,review,39
content_ab18b5811c02,client_19581e27de,6,stale_and_strong_decline,review,40
content_e3ff1b093148,client_d029fa3a95,6,stale_and_strong_decline,review,41
content_b8366b9ef4e8,client_6208ef0f77,6,stale_and_strong_decline,review,42
content_6c61fc88189c,client_d4735e3a26,6,stale_and_strong_decline,review,43
content_24abafed9707,client_8722616204,6,stale_and_strong_decline,review,44
content_df1fa766cac2,client_9400f1b21c,6,stale_and_strong_decline,review,45
content_1b4ec72dafd4,client_4ec9599fc2,6,stale_and_strong_decline,review,46
content_7d58c3076247,client_d029fa3a95,6,stale_and_strong_decline,review,47
content_e8e845c53339,client_d4735e3a26,6,stale_and_strong_decline,review,48
content_84d12054c0c0,client_9400f1b21c,6,stale_and_strong_decline,review,49
content_b57917487e5a,client_d029fa3a95,6,stale_and_strong_decline,review,50
content_55a5b1c46474,client_4ec9599fc2,6,stale_and_strong_decline,review,51
content_77d4d5930e5e,client_7f2253d7e2,6,stale_and_strong_decline,review,52
content_ecb6215e79fd,client_7f2253d7e2,6,stale_and_strong_decline,review,53
content_3a93f78aa0a5,client_d029fa3a95,6,stale_and_strong_decline,review,54
content_e454093819d5,client_d4735e3a26,6,stale_and_strong_decline,review,55
content_8c66ab2089c0,client_d029fa3a95,6,stale_and_strong_decline,review,56
content_f6fdf87348f6,client_4ec9599fc2,6,stale_and_strong_decline,review,57
content_5a8e6c869488,client_d4735e3a26,6,stale_and_strong_decline,review,58
content_a1fb4e703a9e,client_4e07408562,4,strong_recent_decline,review,59
content_9aa793d4d895,client_7f2253d7e2,4,strong_recent_decline,review,60
content_9a34b442b552,client_8722616204,4,strong_recent_decline,review,61
content_5e6c160719bc,client_6208ef0f77,4,strong_recent_decline,review,62
content_91067a14431a,client_6208ef0f77,4,strong_recent_decline,review,63
content_0b360eb9db55,client_349c41201b,4,strong_recent_decline,review,64
content_af865035b328,client_f369cb89fc,4,strong_recent_decline,review,65
content_0d748c484ab1,client_f369cb89fc,4,strong_recent_decline,review,66
content_2da6ae9d0882,client_e629fa6598,4,strong_recent_decline,review,67
content_7ea135180dd9,client_4ec9599fc2,4,strong_recent_decline,review,68
content_19ad8f9bac29,client_3fdba35f04,4,strong_recent_decline,review,69
content_724a2783045d,client_4e07408562,4,strong_recent_decline,review,70
content_dbe82879a406,client_6208ef0f77,4,strong_recent_decline,review,71
content_4595e8704e07,client_8527a891e2,4,strong_recent_decline,review,72
content_e45a618f6b32,client_7f2253d7e2,4,strong_recent_decline,review,73
content_3223b1640f5a,client_a88a7902cb,4,strong_recent_decline,review,74
content_793b7376a0e5,client_8527a891e2,4,strong_recent_decline,review,75
content_2a6383ed421f,client_7f2253d7e2,4,strong_recent_decline,review,76
content_40cb4af260c0,client_f369cb89fc,4,strong_recent_decline,review,77
content_326fa2fa449f,client_98a3ab7c34,4,strong_recent_decline,review,78
content_f0717373e86e,client_8527a891e2,4,strong_recent_decline,review,79
content_d8a23b5e10c5,client_f369cb89fc,4,strong_recent_decline,review,80
content_a4cd54c0a5f1,client_3fdba35f04,4,strong_recent_decline,review,81
content_ff8ea1364b59,client_e629fa6598,4,strong_recent_decline,review,82
content_caff51984338,client_e629fa6598,4,strong_recent_decline,review,83
content_ea379287633b,client_6208ef0f77,4,strong_recent_decline,review,84
content_d5d3c2e98937,client_f74efabef1,4,strong_recent_decline,review,85
content_d512773c9590,client_3fdba35f04,4,strong_recent_decline,review,86
content_9042a5355ff7,client_624b60c58c,4,strong_recent_decline,review,87
content_6bc2ec5f6061,client_a88a7902cb,4,strong_recent_decline,review,88
content_5607fec5d7db,client_f369cb89fc,4,strong_recent_decline,review,89
content_2a9c18d54fdf,client_d029fa3a95,4,strong_recent_decline,review,90
content_5458b7cf0d93,client_19581e27de,4,strong_recent_decline,review,91
content_998f6f88784c,client_f74efabef1,4,strong_recent_decline,review,92
content_abfa53fe7911,client_e629fa6598,4,strong_recent_decline,review,93
content_9983d31c53cb,client_4e07408562,4,strong_recent_decline,review,94
content_bd88c0384e51,client_349c41201b,4,strong_recent_decline,review,95
content_88b02797ac10,client_3fdba35f04,4,strong_recent_decline,review,96
content_359c9bc71718,client_7f2253d7e2,4,strong_recent_decline,review,97
content_95f489ab52f2,client_3fdba35f04,4,strong_recent_decline,review,98
content_dd56958385a4,client_8527a891e2,4,strong_recent_decline,review,99
content_46eaff5b4ae8,client_19581e27de,4,strong_recent_decline,review,100
content_68521745e1e7,client_19581e27de,4,strong_recent_decline,review,101
content_5682ce609aa0,client_3fdba35f04,4,strong_recent_decline,review,102
content_8f2559c3bc1b,client_6208ef0f77,4,strong_recent_decline,review,103
content_cd51be5dfcdb,client_19581e27de,4,strong_recent_decline,review,104
content_27682a7cd588,client_8722616204,4,strong_recent_decline,review,105
content_da7ad11e10c3,client_4e07408562,4,strong_recent_decline,review,106
content_e4deee108624,client_7f2253d7e2,4,strong_recent_decline,review,107
content_0af426466565,client_f74efabef1,4,strong_recent_decline,review,108
content_65629be9dbb5,client_6208ef0f77,4,strong_recent_decline,review,109
content_84b6a73bb71f,client_7f2253d7e2,4,strong_recent_decline,review,110
content_d11eb2b0b223,client_19581e27de,4,strong_recent_decline,review,111
content_9e22f816f158,client_19581e27de,4,strong_recent_decline,review,112
content_e86e73a54c24,client_8722616204,4,strong_recent_decline,review,113
content_a62b745f8be3,client_8527a891e2,4,strong_recent_decline,review,114
content_02bcf3eec147,client_19581e27de,4,strong_recent_decline,review,115
content_7d85ac62f5de,client_19581e27de,4,strong_recent_decline,review,116
content_96edab39e5fb,client_f369cb89fc,4,strong_recent_decline,review,117
content_655b85b8d0fc,client_6208ef0f77,4,strong_recent_decline,review,118
content_e0a40f21b886,client_6208ef0f77,4,strong_recent_decline,review,119
content_ce611830d125,client_19581e27de,4,strong_recent_decline,review,120
content_f74702d8986f,client_f369cb89fc,4,strong_recent_decline,review,121
content_c6999f7eb5fb,client_bbb965ab0c,4,strong_recent_decline,review,122
content_bf2471d517c4,client_19581e27de,4,strong_recent_decline,review,123
content_e3488fd650d1,client_7f2253d7e2,4,strong_recent_decline,review,124
content_16a888bef8eb,client_a88a7902cb,4,strong_recent_decline,review,125
content_668f89aa5c3e,client_bbb965ab0c,4,strong_recent_decline,review,126
content_0f1abc94c6bc,client_f369cb89fc,4,strong_recent_decline,review,127
content_85a2ea46745d,client_19581e27de,4,strong_recent_decline,review,128
content_17e8b736fca7,client_8527a891e2,4,strong_recent_decline,review,129
content_b5716f2631dc,client_f369cb89fc,4,strong_recent_decline,review,130
content_474bc8a4a3cb,client_8527a891e2,4,strong_recent_decline,review,131
content_6ac5011e0f04,client_349c41201b,4,strong_recent_decline,review,132
content_da992825d25f,client_f369cb89fc,4,strong_recent_decline,review,133
content_b9b869d9cb84,client_8527a891e2,4,strong_recent_decline,review,134
content_af41d1db999a,client_3fdba35f04,4,strong_recent_decline,review,135
content_de66aa33332a,client_3fdba35f04,4,strong_recent_decline,review,136
content_33a2ec3db00c,client_3fdba35f04,4,strong_recent_decline,review,137
content_2a42f4cce9c6,client_4e07408562,4,strong_recent_decline,review,138
content_ebd349bad46d,client_6208ef0f77,4,strong_recent_decline,review,139
content_3af54e674244,client_f369cb89fc,4,strong_recent_decline,review,140
content_8def3c4dd646,client_d029fa3a95,4,strong_recent_decline,review,141
content_86e273bff457,client_6208ef0f77,4,strong_recent_decline,review,142
content_1e1f3b791a48,client_3fdba35f04,4,strong_recent_decline,review,143
content_783dd052a637,client_6208ef0f77,4,strong_recent_decline,review,144
content_684d759c2792,client_4ec9599fc2,4,strong_recent_decline,review,145
content_a32a03ed1465,client_d029fa3a95,4,strong_recent_decline,review,146
content_f9196d957a30,client_6208ef0f77,4,strong_recent_decline,review,147
content_5eabfc22996f,client_8527a891e2,4,strong_recent_decline,review,148
content_ea851c8c0ad2,client_f74efabef1,4,strong_recent_decline,review,149
content_ae8502b547de,client_4e07408562,4,strong_recent_decline,review,150
content_9b5943515a13,client_7f2253d7e2,4,strong_recent_decline,review,151
content_0fd3d4c8d1eb,client_a88a7902cb,4,strong_recent_decline,review,152
content_1da659104d64,client_9400f1b21c,4,strong_recent_decline,review,153
content_899bf6f73251,client_4e07408562,4,strong_recent_decline,review,154
content_156cc285e126,client_19581e27de,4,strong_recent_decline,review,155
content_f7b30367f7f2,client_19581e27de,4,strong_recent_decline,review,156
content_8ec653ac9eda,client_19581e27de,4,strong_recent_decline,review,157
content_d85e106be16f,client_3fdba35f04,4,strong_recent_decline,review,158
content_0de6d52b6b52,client_3fdba35f04,4,strong_recent_decline,review,159
content_38b820f9ae9f,client_9f14025af0,4,strong_recent_decline,review,160
content_1d3f18a91722,client_19581e27de,4,strong_recent_decline,review,161
content_95d32ff9e7ae,client_4e07408562,4,strong_recent_decline,review,162
content_d2e655334ee2,client_d4735e3a26,4,strong_recent_decline,review,163
content_8ed8dc20f1a3,client_f369cb89fc,4,strong_recent_decline,review,164
content_25325c787f79,client_19581e27de,4,strong_recent_decline,review,165
content_8fb61b53cd3c,client_d029fa3a95,4,strong_recent_decline,review,166
content_bb2273ff6eed,client_6208ef0f77,4,strong_recent_decline,review,167
content_14c19947d715,client_4ec9599fc2,4,strong_recent_decline,review,168
content_cb3c920a1bfd,client_7f2253d7e2,4,strong_recent_decline,review,169
content_6cbcfee63f82,client_6208ef0f77,4,strong_recent_decline,review,170
content_8c029ce75482,client_3fdba35f04,4,strong_recent_decline,review,171
content_2659482959b9,client_7f2253d7e2,4,strong_recent_decline,review,172
content_340362b16729,client_19581e27de,4,strong_recent_decline,review,173
content_5ae3f169685c,client_8722616204,4,strong_recent_decline,review,174
content_4b7a721bc15c,client_f369cb89fc,4,strong_recent_decline,review,175
content_0c8cb6bad4a7,client_f369cb89fc,4,strong_recent_decline,review,176
content_ce242cbf4233,client_3fdba35f04,4,strong_recent_decline,review,177
content_3a02e4d043a1,client_a88a7902cb,4,strong_recent_decline,review,178
content_708a4c3cb9b1,client_624b60c58c,4,strong_recent_decline,review,179
content_93e0217c01fe,client_f74efabef1,4,strong_recent_decline,review,180
content_575564a123ab,client_19581e27de,4,strong_recent_decline,review,181
content_293040c73278,client_e629fa6598,4,strong_recent_decline,review,182
content_866a5947cd6e,client_8722616204,4,strong_recent_decline,review,183
content_f9ccfa3550a5,client_2c624232cd,4,strong_recent_decline,review,184
content_ac24ae398a75,client_e629fa6598,4,strong_recent_decline,review,185
content_61c7db5369c5,client_f74efabef1,4,strong_recent_decline,review,186
content_297fb35a890c,client_a88a7902cb,4,strong_recent_decline,review,187
content_97804a37420a,client_f369cb89fc,4,strong_recent_decline,review,188
content_b131d25b08ec,client_3fdba35f04,4,strong_recent_decline,review,189
content_a97796e0e60d,client_624b60c58c,4,strong_recent_decline,review,190
content_a72d8fc76054,client_6208ef0f77,4,strong_recent_decline,review,191
content_e236db43d278,client_3fdba35f04,4,strong_recent_decline,review,192
content_54fe25e03784,client_19581e27de,4,strong_recent_decline,review,193
content_4148b1c5a86e,client_0b918943df,4,strong_recent_decline,review,194
content_0d675739d937,client_3fdba35f04,4,strong_recent_decline,review,195
content_daeb96ce8d16,client_19581e27de,4,strong_recent_decline,review,196
content_5083a1261e84,client_19581e27de,4,strong_recent_decline,review,197
content_499fb9c03ef4,client_4ec9599fc2,4,strong_recent_decline,review,198
content_f30fd6a05b0d,client_3fdba35f04,4,strong_recent_decline,review,199
content_7bca89d4b76a,client_bbb965ab0c,4,strong_recent_decline,review,200
content_02cb3529a5af,client_d029fa3a95,4,strong_recent_decline,review,201
content_1d20f345eec2,client_bbb965ab0c,4,strong_recent_decline,review,202
content_e32593979b4f,client_19581e27de,4,strong_recent_decline,review,203
content_59ee92135b5c,client_7f2253d7e2,4,strong_recent_decline,review,204
content_678083d0c5e4,client_3fdba35f04,4,strong_recent_decline,review,205
content_bf7bb877a547,client_a88a7902cb,4,strong_recent_decline,review,206
content_a9e341666bba,client_6208ef0f77,4,strong_recent_decline,review,207
content_4a2f99b1973e,client_349c41201b,4,strong_recent_decline,review,208
content_cb385644ae55,client_434c9b5ae5,4,strong_recent_decline,review,209
content_29edd4a67cf6,client_19581e27de,4,strong_recent_decline,review,210
content_1fd0682776f8,client_bbb965ab0c,4,strong_recent_decline,review,211
content_8db0df5e5c89,client_7f2253d7e2,4,strong_recent_decline,review,212
content_46e7e23d335e,client_19581e27de,4,strong_recent_decline,review,213
content_aaee0ce51abf,client_d4735e3a26,4,strong_recent_decline,review,214
content_adaa673e51f9,client_6208ef0f77,4,strong_recent_decline,review,215
content_f1f02f28f9e5,client_3fdba35f04,4,strong_recent_decline,review,216
content_d34f8a149845,client_9400f1b21c,4,strong_recent_decline,review,217
content_e0397aea7268,client_3fdba35f04,4,strong_recent_decline,review,218
content_40182f222dc7,client_f369cb89fc,4,strong_recent_decline,review,219
content_a58229c4f2ee,client_4ec9599fc2,4,strong_recent_decline,review,220
content_b65c621c6c0b,client_4e07408562,4,strong_recent_decline,review,221
content_f09b7e259ff8,client_8722616204,4,strong_recent_decline,review,222
content_4276cb52f7dd,client_3fdba35f04,4,strong_recent_decline,review,223
content_474f0938b788,client_349c41201b,4,strong_recent_decline,review,224
content_944993ae046e,client_6208ef0f77,4,strong_recent_decline,review,225
content_4003d928298b,client_19581e27de,4,strong_recent_decline,review,226
content_49dd3b172108,client_3fdba35f04,4,strong_recent_decline,review,227
content_dfec38dc38d8,client_19581e27de,4,strong_recent_decline,review,228
content_d88da354897a,client_6208ef0f77,4,strong_recent_decline,review,229
content_5a8a28f6de12,client_19581e27de,4,strong_recent_decline,review,230
content_fcc4de7a9d63,client_3fdba35f04,4,strong_recent_decline,review,231
content_c092ace0d33a,client_3fdba35f04,4,strong_recent_decline,review,232
content_07da2d8f9e3f,client_d029fa3a95,4,strong_recent_decline,review,233
content_3546c7b868f1,client_19581e27de,4,strong_recent_decline,review,234
content_f45c1431686e,client_f369cb89fc,4,strong_recent_decline,review,235
content_570934dfc7e7,client_19581e27de,4,strong_recent_decline,review,236
content_66d61b265ad9,client_a88a7902cb,4,strong_recent_decline,review,237
content_3a426ee4383c,client_19581e27de,4,strong_recent_decline,review,238
content_557976e65608,client_f369cb89fc,4,strong_recent_decline,review,239
content_939b70207d30,client_9f14025af0,4,strong_recent_decline,review,240
content_3261a57ccfeb,client_8527a891e2,4,strong_recent_decline,review,241
content_e6cf793cdfe1,client_6208ef0f77,4,strong_recent_decline,review,242
content_ff40dac897b8,client_8722616204,4,strong_recent_decline,review,243
content_e6f86b5a55de,client_3fdba35f04,4,strong_recent_decline,review,244
content_b51e2e4d22ff,client_7f2253d7e2,4,strong_recent_decline,review,245
content_15decd718268,client_19581e27de,4,strong_recent_decline,review,246
content_b70b7c263bd2,client_f74efabef1,4,strong_recent_decline,review,247
content_9edd9d24d285,client_a88a7902cb,4,strong_recent_decline,review,248
content_7d2d33fb3ea5,client_e629fa6598,4,strong_recent_decline,review,249
content_c5182d44e3da,client_f74efabef1,4,strong_recent_decline,review,250
content_2f8a5a2ffd9e,client_6208ef0f77,4,strong_recent_decline,review,251
content_0a631257482b,client_f369cb89fc,4,strong_recent_decline,review,252
content_ee1b0d51721b,client_f74efabef1,4,strong_recent_decline,review,253
content_d4ffb2d1438b,client_d029fa3a95,4,strong_recent_decline,review,254
content_b9628815a443,client_8527a891e2,4,strong_recent_decline,review,255
content_0789d4559aa4,client_8527a891e2,4,strong_recent_decline,review,256
content_5d77d3077984,client_f369cb89fc,4,strong_recent_decline,review,257
content_3c4420ed24d2,client_4ec9599fc2,4,strong_recent_decline,review,258
content_c5be8daa0f8a,client_3fdba35f04,4,strong_recent_decline,review,259
content_19bb461f2c74,client_3fdba35f04,4,strong_recent_decline,review,260
content_0f6ac970c929,client_a88a7902cb,4,strong_recent_decline,review,261
content_14a42157a627,client_98a3ab7c34,4,strong_recent_decline,review,262
content_4b541c1551ef,client_19581e27de,4,strong_recent_decline,review,263
content_7d6b854fc594,client_3fdba35f04,4,strong_recent_decline,review,264
content_9dbd12523260,client_f369cb89fc,4,strong_recent_decline,review,265
content_329b9f5bd7ad,client_a88a7902cb,4,strong_recent_decline,review,266
content_9791c3c6a76c,client_19581e27de,4,strong_recent_decline,review,267
content_0d78cba0b985,client_f369cb89fc,4,strong_recent_decline,review,268
content_3a380f6fba97,client_d029fa3a95,4,strong_recent_decline,review,269
content_efeefd8b8961,client_19581e27de,4,strong_recent_decline,review,270
content_aa2440f8c4ea,client_349c41201b,4,strong_recent_decline,review,271
content_300421eb4a98,client_19581e27de,4,strong_recent_decline,review,272
content_4679b1f74241,client_19581e27de,4,strong_recent_decline,review,273
content_5e7478745cdb,client_6208ef0f77,4,strong_recent_decline,review,274
content_15baf20c80c5,client_3fdba35f04,4,strong_recent_decline,review,275
content_88d1204ff370,client_19581e27de,4,strong_recent_decline,review,276
content_3b2ffe259549,client_d029fa3a95,4,strong_recent_decline,review,277
content_40993233e0ef,client_6208ef0f77,4,strong_recent_decline,review,278
content_f7c497d4464c,client_349c41201b,4,strong_recent_decline,review,279
content_3d68cd06523d,client_d029fa3a95,4,strong_recent_decline,review,280
content_06248e69dbfe,client_8527a891e2,4,strong_recent_decline,review,281
content_89f63af999b1,client_f74efabef1,4,strong_recent_decline,review,282
content_0ac65b26b9e1,client_4ec9599fc2,4,strong_recent_decline,review,283
content_7f11755b690f,client_8527a891e2,4,strong_recent_decline,review,284
content_cfb008ec17b0,client_d029fa3a95,4,strong_recent_decline,review,285
content_c052d3b6fb72,client_8722616204,4,strong_recent_decline,review,286
content_2938b131c81a,client_f74efabef1,4,strong_recent_decline,review,287
content_bb46a79df0e1,client_8722616204,4,strong_recent_decline,review,288
content_94e728350f84,client_3fdba35f04,4,strong_recent_decline,review,289
content_14327b4a825b,client_e629fa6598,4,strong_recent_decline,review,290
content_190f6d66b091,client_19581e27de,4,strong_recent_decline,review,291
content_22ce386dda2c,client_4e07408562,4,strong_recent_decline,review,292
content_e9c9aab39947,client_3fdba35f04,4,strong_recent_decline,review,293
content_ba006000a707,client_19581e27de,4,strong_recent_decline,review,294
content_25fd53576e5c,client_6208ef0f77,4,strong_recent_decline,review,295
content_5df0327662c3,client_f74efabef1,4,strong_recent_decline,review,296
content_2c2d8c37d956,client_6208ef0f77,4,strong_recent_decline,review,297
content_3b6aadf73e41,client_6208ef0f77,4,strong_recent_decline,review,298
content_1d58cdcf8bca,client_7f2253d7e2,4,strong_recent_decline,review,299
content_523083f6f852,client_624b60c58c,4,strong_recent_decline,review,300
content_9c89b1690b9f,client_4ec9599fc2,4,strong_recent_decline,review,301
content_a159d40b38cd,client_8527a891e2,4,strong_recent_decline,review,302
content_3ebeade99cf0,client_8527a891e2,4,strong_recent_decline,review,303
content_b0d6e9f27ca4,client_7f2253d7e2,4,strong_recent_decline,review,304
content_66fabd711c2c,client_19581e27de,4,strong_recent_decline,review,305
content_b06198ab8de1,client_9f14025af0,4,strong_recent_decline,review,306
content_6cdd1cc1ed10,client_4ec9599fc2,4,strong_recent_decline,review,307
content_c416c8fde664,client_a88a7902cb,4,strong_recent_decline,review,308
content_2105b32488af,client_9f14025af0,4,strong_recent_decline,review,309
content_00fbfe438119,client_4ec9599fc2,4,strong_recent_decline,review,310
content_f5a5e136a06e,client_624b60c58c,4,strong_recent_decline,review,311
content_37ca215500ac,client_7f2253d7e2,4,strong_recent_decline,review,312
content_5b28ee5792f9,client_3fdba35f04,4,strong_recent_decline,review,313
content_1b259c0f9659,client_f369cb89fc,4,strong_recent_decline,review,314
content_97d475df4c6c,client_6208ef0f77,4,strong_recent_decline,review,315
content_9a2ba4e02292,client_f369cb89fc,4,strong_recent_decline,review,316
content_f5187191aba4,client_4ec9599fc2,4,strong_recent_decline,review,317
content_aa29f3c406eb,client_f369cb89fc,4,strong_recent_decline,review,318
content_2479e56ebbd1,client_7f2253d7e2,4,strong_recent_decline,review,319
content_e74933316051,client_4ec9599fc2,4,strong_recent_decline,review,320
content_d72d7c2f021d,client_f369cb89fc,4,strong_recent_decline,review,321
content_d9afc9438411,client_a88a7902cb,4,strong_recent_decline,review,322
content_d516275e106e,client_8527a891e2,4,strong_recent_decline,review,323
content_ebab0744ca5a,client_19581e27de,4,strong_recent_decline,review,324
content_407297e008be,client_f74efabef1,4,strong_recent_decline,review,325
content_3b58d9381881,client_8722616204,4,strong_recent_decline,review,326
content_946fbf519eb7,client_bdd2d3af3a,4,strong_recent_decline,review,327
content_2c5074e067a5,client_f369cb89fc,4,strong_recent_decline,review,328
content_ebc65aa06e79,client_6208ef0f77,4,strong_recent_decline,review,329
content_c9d2b4b4b601,client_e29c9c180c,4,strong_recent_decline,review,330
content_63c954de8b7d,client_6208ef0f77,4,strong_recent_decline,review,331
content_edc412bf441c,client_7f2253d7e2,4,strong_recent_decline,review,332
content_3e4f434e3d15,client_3fdba35f04,4,strong_recent_decline,review,333
content_c67000f4ef67,client_6208ef0f77,4,strong_recent_decline,review,334
content_0ae3c180d412,client_6208ef0f77,4,strong_recent_decline,review,335
content_9fe2d1a62916,client_d029fa3a95,4,strong_recent_decline,review,336
content_acf1d5364432,client_624b60c58c,4,strong_recent_decline,review,337
content_50fd5d5643fd,client_7f2253d7e2,4,strong_recent_decline,review,338
content_b41fb554d71c,client_3fdba35f04,4,strong_recent_decline,review,339
content_d649f582c2c8,client_3fdba35f04,4,strong_recent_decline,review,340
content_c515dbd8d7b3,client_6208ef0f77,4,strong_recent_decline,review,341
content_179caec11499,client_f369cb89fc,4,strong_recent_decline,review,342
content_0513586edfbc,client_4e07408562,4,strong_recent_decline,review,343
content_4d6923d17c10,client_8527a891e2,4,strong_recent_decline,review,344
content_3219b4fe399c,client_a88a7902cb,4,strong_recent_decline,review,345
content_2093c759ecad,client_d029fa3a95,4,strong_recent_decline,review,346
content_210e39dc2bb5,client_4e07408562,4,strong_recent_decline,review,347
content_fb0779ae50a6,client_6208ef0f77,4,strong_recent_decline,review,348
content_80d1246ba555,client_f369cb89fc,4,strong_recent_decline,review,349
content_fbe8d574e581,client_8722616204,4,strong_recent_decline,review,350
content_7f6bc8a99e30,client_6208ef0f77,4,strong_recent_decline,review,351
content_37d204ac0b12,client_19581e27de,4,strong_recent_decline,review,352
content_0265d1ec8372,client_3fdba35f04,4,strong_recent_decline,review,353
content_da0576709a91,client_19581e27de,4,strong_recent_decline,review,354
content_a62c6dc0b9bc,client_7f2253d7e2,4,strong_recent_decline,review,355
content_e2d83f6a4cb2,client_6208ef0f77,4,strong_recent_decline,review,356
content_ec1dc95b0101,client_4ec9599fc2,4,strong_recent_decline,review,357
content_a53520422b2d,client_7f2253d7e2,4,strong_recent_decline,review,358
content_8f593155da21,client_349c41201b,4,strong_recent_decline,review,359
content_4c3468a3efad,client_8527a891e2,4,strong_recent_decline,review,360
content_89b746cd8933,client_f369cb89fc,4,strong_recent_decline,review,361
content_1468e023c8c2,client_7f2253d7e2,4,strong_recent_decline,review,362
content_b6122f054c92,client_bbb965ab0c,4,strong_recent_decline,review,363
content_bb0d0d5e8148,client_3fdba35f04,4,strong_recent_decline,review,364
content_07f58a30b883,client_7f2253d7e2,4,strong_recent_decline,review,365
content_d6f773f209dd,client_7f2253d7e2,4,strong_recent_decline,review,366
content_4b254381379e,client_6208ef0f77,4,strong_recent_decline,review,367
content_2ba564025f94,client_6208ef0f77,4,strong_recent_decline,review,368
content_153ef109c6d9,client_19581e27de,4,strong_recent_decline,review,369
content_6eb78ee53405,client_19581e27de,4,strong_recent_decline,review,370
content_64be03169e3d,client_8722616204,4,strong_recent_decline,review,371
content_3f8b76455a40,client_3fdba35f04,4,strong_recent_decline,review,372
content_e0350c8a8e45,client_19581e27de,4,strong_recent_decline,review,373
content_ad40fef9ebf4,client_19581e27de,4,strong_recent_decline,review,374
content_9131c7f9443c,client_3fdba35f04,4,strong_recent_decline,review,375
content_0e503da1ea7f,client_349c41201b,4,strong_recent_decline,review,376
content_68f2672b50cd,client_19581e27de,4,strong_recent_decline,review,377
content_9623d743e59d,client_19581e27de,4,strong_recent_decline,review,378
content_abef99f293a8,client_f369cb89fc,4,strong_recent_decline,review,379
content_e100fed18d15,client_3fdba35f04,4,strong_recent_decline,review,380
content_bc59f60f4c9e,client_6208ef0f77,4,strong_recent_decline,review,381
content_bf54f1b66e17,client_4e07408562,4,strong_recent_decline,review,382
content_836b4163cf30,client_f74efabef1,4,strong_recent_decline,review,383
content_49077ded3aed,client_f369cb89fc,4,strong_recent_decline,review,384
content_ddcbb780b768,client_7f2253d7e2,4,strong_recent_decline,review,385
content_68c0a79b924a,client_4ec9599fc2,4,strong_recent_decline,review,386
content_0cf67ec37ab8,client_f74efabef1,4,strong_recent_decline,review,387
content_9d0300db3dbb,client_624b60c58c,4,strong_recent_decline,review,388
content_dcbe0570e808,client_7f2253d7e2,4,strong_recent_decline,review,389
